TICKER,FIGI,DATE,TYPE,FREQUENCY,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR,EX_DIVIDEND,SPLIT_RATIO
GOOGL,BBG000C3C6S2,02-02-2018,EOD,daily,198.04,204.7,197.07,204.6,9143664,19.82055668,19.83983738,19.32889891,19.55322982,60015,,0,1
GOOGL,BBG000C3C6S2,01-02-2018,EOD,daily,204.36,206.06,201.13,201.69,6211308,19.66631111,20.38933725,19.63208787,19.98444261,119940,,0,1
GOOGL,BBG000C3C6S2,31-01-2018,EOD,daily,201.91,202.56,192.68,193.69,8898884,19.57954797,19.79115362,19.57954797,19.7241532,44547,,0,1
GOOGL,BBG000C3C6S2,30-01-2018,EOD,daily,191.96,192.63,186.96,187.25,10156524,19.66631111,19.78199529,19.00112706,19.62774971,44634,,0,1
GOOGL,BBG000C3C6S2,29-01-2018,EOD,daily,188.15,190.27,184.31,188.29,8594484,20.21581098,20.63034597,19.91696017,19.95552156,40228,,0,1
GOOGL,BBG000C3C6S2,26-01-2018,EOD,daily,188.18,188.62,185.13,185.84,5317198,20.48574074,20.48574074,20.18688993,20.18688993,16462,,0,1
GOOGL,BBG000C3C6S2,25-01-2018,EOD,daily,185.49,190.11,185.3,187.44,10664908,20.63034597,20.63034597,20.33149516,20.33149516,11348,,0,1
GOOGL,BBG000C3C6S2,24-01-2018,EOD,daily,189.58,191.1,185.54,185.68,5835892,20.50502143,20.60142492,20.49538109,20.50502143,10817,,0,1
GOOGL,BBG000C3C6S2,23-01-2018,EOD,daily,186.83,187.44,180.47,185.2,11399560,20.59178457,20.62070562,20.52430213,20.53394248,13467,,0,1
GOOGL,BBG000C3C6S2,22-01-2018,EOD,daily,184.11,186.7,182.81,185.66,8605568,20.40861795,20.52430213,20.40861795,20.52430213,26400,,0,1
GOOGL,BBG000C3C6S2,19-01-2018,EOD,daily,187.29,192.13,186.97,187.98,8985421,20.31221446,20.57250387,20.29293377,20.5122517,16730,,0,1
GOOGL,BBG000C3C6S2,18-01-2018,EOD,daily,188.86,191.91,185.99,190.82,9556510,20.37005655,20.45681969,20.31221446,20.33149516,18153,,0,1
GOOGL,BBG000C3C6S2,17-01-2018,EOD,daily,189.73,191.69,186.34,191.69,8198046,20.38933725,20.38933725,20.24482843,20.25437237,10808,,0,1
GOOGL,BBG000C3C6S2,16-01-2018,EOD,daily,192.47,193.13,190.21,190.87,3667717,20.24473202,20.7171091,20.17724958,20.21581098,46960,,0,1
GOOGL,BBG000C3C6S2,12-01-2018,EOD,daily,189.33,190.69,185.91,186.16,4315930,19.95552156,20.24376799,19.88803912,20.0808461,32799,,0,1
GOOGL,BBG000C3C6S2,11-01-2018,EOD,daily,187.09,189.31,183.57,186.1,7982732,19.91696017,20.14832854,19.79915511,19.81091634,43481,,0,1
GOOGL,BBG000C3C6S2,10-01-2018,EOD,daily,186.96,191.69,185.99,191.5,6280223,19.7048725,19.73379355,19.66631111,19.67595146,12244,,0,1
GOOGL,BBG000C3C6S2,09-01-2018,EOD,daily,192.92,193.73,188.91,189.91,6386442,19.76271459,19.80609616,19.67595146,19.72897337,19273,,0,1
GOOGL,BBG000C3C6S2,08-01-2018,EOD,daily,188.28,190.92,187.26,187.41,5559992,19.56990762,20.05192505,19.56990762,19.66631111,42855,,0,1
GOOGL,BBG000C3C6S2,05-01-2018,EOD,daily,188.48,195.2,188.34,195.19,10263036,19.58918832,19.80609616,19.52170588,19.59892507,44006,,0,1
GOOGL,BBG000C3C6S2,04-01-2018,EOD,daily,196.82,197.63,193.44,193.45,8912579,19.28069716,19.4060217,19.22651841,19.4060217,28237,,0,1
GOOGL,BBG000C3C6S2,03-01-2018,EOD,daily,194.07,197.33,189.48,196.85,10360552,18.96256566,18.99775293,18.82760078,18.99148671,8853,,0,1
GOOGL,BBG000C3C6S2,02-01-2018,EOD,daily,196.29,197.91,192.87,193.48,6159365,18.6926359,18.79867974,18.6926359,18.78450842,14152,,0,1
GOOGL,BBG000C3C6S2,29-12-2017,EOD,daily,194.36,195.44,190.69,190.96,5021083,18.58659207,19.12760843,18.5682754,18.74083764,13471,,0,1
GOOGL,BBG000C3C6S2,28-12-2017,EOD,daily,190.64,193.69,189.25,193.46,7662124,18.61551311,18.64443416,18.55622497,18.60587276,16959,0.962915288,0.7433,1
GOOGL,BBG000C3C6S2,27-12-2017,EOD,daily,195.11,195.75,189.45,192.39,7773360,18.49605678,18.5006982,18.44500116,18.49141536,7005,,0,1
GOOGL,BBG000C3C6S2,26-12-2017,EOD,daily,193.5,196.32,191.69,195.7,6788401,18.45985371,18.51629337,18.45985371,18.48213252,10281,,0,1
GOOGL,BBG000C3C6S2,22-12-2017,EOD,daily,194.74,195.66,194.19,195.55,5306979,18.41715265,18.54711239,18.39830848,18.50357588,9022,,0,1
GOOGL,BBG000C3C6S2,21-12-2017,EOD,daily,195.62,197.6,193.68,194.26,7634692,18.50162648,18.53782955,18.31504142,18.53782955,9864,,0,1
